Date,CountryCode,NumberOfFans
2018-09-30,ML,39582
2018-09-30,MQ,5337
2018-09-30,MR,3970
2018-09-30,MU,23687
2018-09-30,NC,4907
2018-09-30,NE,10119
2018-09-30,PF,5056
2018-09-30,RE,20588
2018-09-30,RW,1538
2018-09-30,SN,81703
2018-09-30,TD,3212
2018-09-30,TG,9721
2018-09-30,TN,17456
2018-09-30,US,10984
2018-09-30,YT,1931
2018-09-30,ZA,2370
2018-10-01,AO,5760
2018-10-01,BE,10033
2018-10-01,BF,42130
2018-10-01,BI,3105
2018-10-01,BJ,13088
2018-10-01,CA,10276
2018-10-01,CD,48673
2018-10-01,CF,4703
2018-10-01,CG,18043
2018-10-01,CH,1645
2018-10-01,CI,108899
2018-10-01,CM,99259
2018-10-01,CN,1482
2018-10-01,DE,3117
2018-10-01,DJ,3250
2018-10-01,DZ,38403
2018-10-01,ES,2438
2018-10-01,FR,71212
2018-10-01,GA,23238
2018-10-01,GB,1945
2018-10-01,GF,1650
2018-10-01,GH,2266
2018-10-01,GN,35663
2018-10-01,GP,5291
2018-10-01,HT,22414
2018-10-01,IT,6648
2018-10-01,KM,4741
2018-10-01,MA,12190
2018-10-01,MG,71373
2018-10-01,ML,39635
2018-10-01,MQ,5345
2018-10-01,MR,3972
2018-10-01,MU,23717
2018-10-01,NC,4912
2018-10-01,NE,10128
2018-10-01,PF,5062
2018-10-01,RE,20603
2018-10-01,RW,1539
2018-10-01,SN,81789
2018-10-01,TD,3216
2018-10-01,TG,9732
2018-10-01,TN,17466
2018-10-01,US,11000
2018-10-01,YT,1932
2018-10-01,ZA,2374
2018-10-02,AO,5771
2018-10-02,BE,10056
2018-10-02,BF,42210
2018-10-02,BI,3114
2018-10-02,BJ,13108
2018-10-02,CA,10285
2018-10-02,CD,48801
2018-10-02,CF,4710
2018-10-02,CG,18059
2018-10-02,CH,1649
2018-10-02,CI,109074
2018-10-02,CM,99450
2018-10-02,CN,1486
2018-10-02,DE,3120
2018-10-02,DJ,3251
2018-10-02,DZ,38432
2018-10-02,ES,2440
2018-10-02,FR,71302
2018-10-02,GA,23279
2018-10-02,GB,1951
2018-10-02,GF,1652
2018-10-02,GH,2264
2018-10-02,GN,35703
2018-10-02,GP,5298
2018-10-02,HT,22444
2018-10-02,IT,6648
2018-10-02,KM,4752
2018-10-02,MA,12197
2018-10-02,MG,71455
2018-10-02,ML,39683
2018-10-02,MQ,5346
2018-10-02,MR,3978
2018-10-02,MU,23727
2018-10-02,NC,4919
2018-10-02,NE,10139
2018-10-02,PF,5070
2018-10-02,RE,20615
2018-10-02,RW,1544
2018-10-02,SN,81890
2018-10-02,TD,3221
2018-10-02,TG,9738
2018-10-02,TN,17487
2018-10-02,US,11012
2018-10-02,YT,1935
2018-10-02,ZA,2382
2018-10-03,AO,5789
2018-10-03,BE,10166
2018-10-03,BF,42306
2018-10-03,BI,3123
2018-10-03,BJ,13117
2018-10-03,CA,10305
2018-10-03,CD,48882
2018-10-03,CF,4715
2018-10-03,CG,18085
2018-10-03,CH,1658
2018-10-03,CI,109245
2018-10-03,CM,99572
2018-10-03,CN,1493
2018-10-03,DE,3156
2018-10-03,DJ,3265
2018-10-03,DZ,38443
2018-10-03,ES,2430
2018-10-03,FR,71553
2018-10-03,GA,23322
2018-10-03,GB,1965
2018-10-03,GF,1657
2018-10-03,GH,2267
2018-10-03,GN,35721
2018-10-03,GP,5312
2018-10-03,HT,22472
2018-10-03,IT,6663
2018-10-03,KM,4759
2018-10-03,MA,12200
2018-10-03,MG,71526
2018-10-03,ML,39715
2018-10-03,MQ,5347
2018-10-03,MR,3986
2018-10-03,MU,23747
2018-10-03,NC,4918
2018-10-03,NE,10155
2018-10-03,PF,5072
2018-10-03,RE,20649
2018-10-03,RW,1543
2018-10-03,SN,81954
2018-10-03,TD,3220
2018-10-03,TG,9747
2018-10-03,TN,17506
2018-10-03,US,11044
2018-10-03,YT,1939
2018-10-03,ZA,2392
2018-10-04,AO,5800
2018-10-04,BE,10175
2018-10-04,BF,42379
2018-10-04,BI,3130
2018-10-04,BJ,13135
2018-10-04,CA,10318
2018-10-04,CD,48987
2018-10-04,CF,4724
2018-10-04,CG,18122
2018-10-04,CH,1658
2018-10-04,CI,109420
2018-10-04,CM,99727
2018-10-04,CN,1498
2018-10-04,DE,3159
2018-10-04,DJ,3271
2018-10-04,DZ,38468
2018-10-04,ES,2430
2018-10-04,FR,71629
2018-10-04,GA,23353
2018-10-04,GB,1968
2018-10-04,GF,1661
2018-10-04,GH,2270
2018-10-04,GN,35773
2018-10-04,GP,5319
2018-10-04,HT,22503
2018-10-04,IT,6672
2018-10-04,KM,4770
2018-10-04,MA,12214
2018-10-04,MG,71591
2018-10-04,ML,39761
2018-10-04,MQ,5353
2018-10-04,MR,3991
2018-10-04,MU,23776
2018-10-04,NC,4925
2018-10-04,NE,10169
2018-10-04,PF,5073
2018-10-04,RE,20667
2018-10-04,RW,1547
2018-10-04,SN,82058
2018-10-04,TD,3224
2018-10-04,TG,9761
2018-10-04,TN,17519
2018-10-04,US,11056
2018-10-04,YT,1940
2018-10-04,ZA,2395
2018-10-05,AO,5809
2018-10-05,BE,10187
2018-10-05,BF,42458
2018-10-05,BI,3137
2018-10-05,BJ,13155
2018-10-05,CA,10325
2018-10-05,CD,49127
2018-10-05,CF,4730
2018-10-05,CG,18157
2018-10-05,CH,1660
2018-10-05,CI,109574
2018-10-05,CM,99872
2018-10-05,CN,1499
2018-10-05,DE,3164
2018-10-05,DJ,3283
2018-10-05,DZ,38513
2018-10-05,ES,2436
2018-10-05,FR,71712
2018-10-05,GA,23386
2018-10-05,GB,1974
2018-10-05,GF,1664
2018-10-05,GH,2269
2018-10-05,GN,35836
2018-10-05,GP,5323
2018-10-05,HT,22569
2018-10-05,IT,6679
2018-10-05,KM,4785
2018-10-05,MA,12228
2018-10-05,MG,71653
2018-10-05,ML,39828
2018-10-05,MQ,5365
2018-10-05,MR,3994
2018-10-05,MU,23803
2018-10-05,NC,4935
2018-10-05,NE,10182
2018-10-05,PF,5079
2018-10-05,RE,20678
2018-10-05,RW,1550
2018-10-05,SN,82141
2018-10-05,TD,3227
2018-10-05,TG,9771
2018-10-05,TN,17528
2018-10-05,US,11070
2018-10-05,YT,1944
2018-10-05,ZA,2406
2018-10-06,AO,5817
2018-10-06,BE,10198
2018-10-06,BF,42537
2018-10-06,BI,3146
2018-10-06,BJ,13180
2018-10-06,CA,10329
2018-10-06,CD,49238
2018-10-06,CF,4733
2018-10-06,CG,18196
2018-10-06,CH,1662
2018-10-06,CI,109728
2018-10-06,CM,100012
2018-10-06,CN,1501
2018-10-06,DE,3166
2018-10-06,DJ,3287
2018-10-06,DZ,38533
2018-10-06,ES,2439
2018-10-06,FR,71787
2018-10-06,GA,23420
2018-10-06,GB,1976
2018-10-06,GF,1664
2018-10-06,GH,2273
2018-10-06,GN,35895
2018-10-06,GP,5326
2018-10-06,HT,22626
2018-10-06,IT,6685
2018-10-06,KM,4797
2018-10-06,MA,12239
2018-10-06,MG,71711
2018-10-06,ML,39877
2018-10-06,MQ,5367
2018-10-06,MR,4004
2018-10-06,MU,23827
2018-10-06,NC,4941
2018-10-06,NE,10200
2018-10-06,PF,5082
2018-10-06,RE,20693
2018-10-06,RW,1551
2018-10-06,SN,82225
2018-10-06,TD,3229
2018-10-06,TG,9784
2018-10-06,TN,17547
2018-10-06,US,11085
2018-10-06,YT,1946
2018-10-06,ZA,2408
2018-10-07,AO,5833
2018-10-07,BE,10245
2018-10-07,BF,42586
2018-10-07,BI,3152
2018-10-07,BJ,13200
2018-10-07,CA,10355
2018-10-07,CD,49365
2018-10-07,CF,4735
2018-10-07,CG,18236
2018-10-07,CH,1663
2018-10-07,CI,109914
2018-10-07,CM,100210
2018-10-07,CN,1506
2018-10-07,DE,3172
2018-10-07,DJ,3299
2018-10-07,DZ,38557
2018-10-07,ES,2444
2018-10-07,FR,71961
2018-10-07,GA,23460
2018-10-07,GB,1977
2018-10-07,GF,1664
2018-10-07,GH,2277
2018-10-07,GN,35963
2018-10-07,GP,5327
2018-10-07,HT,22656
2018-10-07,IT,6696
2018-10-07,KM,4806
2018-10-07,MA,12255
2018-10-07,MG,71806
2018-10-07,ML,39941
2018-10-07,MQ,5371
2018-10-07,MR,4008
2018-10-07,MU,23839
2018-10-07,NC,4948
2018-10-07,NE,10216
2018-10-07,PF,5088
2018-10-07,RE,20706
2018-10-07,RW,1558
2018-10-07,SN,82335
2018-10-07,TD,3233
2018-10-07,TG,9803
