CreatedTime,EngagedFans,Impressions,NegativeFeedback,NonViralimpressions,NonViralReach,PostActivity,PostActivityUnique,PostClicks,UniquePostClicks,PostReactionsAnger,PostReactionsHaHa,PostReactionsLike,PostReactionsLove,PostReactionsSorry,PostReactionsWow,Reach
2018-09-10 06:00:00,1597,93438,2,33707,24394,2658,2155,1775,1516,0,2,1714,69,1,0,64877
2018-09-10 06:30:00,9245,649267,13,110252,77073,31422,24618,16625,14517,2,15,21616,858,4,24,441793
2018-09-10 07:00:00,2494,181478,8,55058,40622,4682,3808,3604,3103,1,26,2962,123,0,6,125413
2018-09-10 07:30:00,1668,90027,2,42129,30422,2469,2055,1510,1355,0,1,1608,45,3,1,63439
2018-09-10 08:01:00,1679,71091,7,32833,23786,2690,2288,1226,1081,0,1,1813,59,0,2,48140
2018-09-10 08:30:00,3304,230199,9,76329,54639,6556,4848,4982,4165,4,20,3938,221,4,12,151469
2018-09-10 09:00:00,8572,704304,18,107812,77411,27774,22927,18119,16233,2,17,20126,705,26,15,462804
2018-09-10 10:00:00,4391,273689,8,69223,48980,9075,7641,5223,4694,2,11,6270,162,17,7,193228
2018-09-10 11:00:00,6513,376360,11,99469,71264,12820,10464,8669,7770,3,45,8755,271,8,10,262677
2018-09-10 12:00:00,2202,121606,0,46133,31564,4151,3350,2562,2307,1,2,2805,67,1,0,84629
2018-09-10 13:00:00,640,34985,3,26881,18572,644,543,478,429,0,2,448,3,0,2,23922
2018-09-10 14:00:00,3961,245959,4,69580,50088,9142,7173,4874,4374,0,6,6146,243,1,4,172524
2018-09-10 15:00:00,11175,1065397,16,162834,110633,33484,26890,23577,20072,93,218,21381,547,229,71,675504
2018-09-10 15:30:00,7968,574169,13,111459,80085,18856,15606,13389,11823,0,10,12679,753,10,17,392129
2018-09-10 16:00:00,1103,54140,2,31468,21813,1404,1121,942,817,0,3,890,33,1,0,37166
2018-09-10 17:01:00,2880,146715,6,51215,36132,4881,4017,3064,2652,0,7,3298,147,0,1,101690
2018-09-10 18:00:00,4332,288950,5,70340,49970,10469,8544,5984,5332,3,15,7103,313,12,20,193965
2018-09-10 19:01:00,4291,260088,10,66217,45958,8027,6374,6102,5460,1,8,5173,153,4,14,182614
2018-09-10 20:00:00,1610,79344,2,44023,30894,2127,1756,1543,1380,0,0,1392,46,1,1,54464
2018-09-10 21:00:00,1811,87788,5,39143,27700,3637,3045,1570,1462,0,0,2748,77,0,4,63061
2018-09-10 22:00:00,932,50205,2,38185,26178,1175,1019,524,470,1,0,861,18,0,0,33588
2018-09-10 22:30:00,3920,214911,7,68424,49337,7249,6037,4315,3954,0,3,4977,175,3,3,149948
2018-09-10 23:00:00,1085,57346,2,31198,21885,1576,1299,1099,951,0,1,1080,30,2,2,39216
2018-09-20 18:00:00,3264,208954,6,56216,39402,9605,8178,4930,4391,0,10,7208,146,3,6,148667
2018-09-20 22:30:00,3050,149767,6,54666,38543,6389,5521,2914,2552,2,2,4592,145,3,1,102054
2018-09-20 23:00:00,1424,80016,2,32767,22727,3011,2389,1469,1312,0,0,2114,48,0,0,56179
2018-09-21 19:00:00,4848,257410,9,62816,45206,11057,8908,4831,4365,1,134,7516,314,0,5,173809
2018-09-21 20:00:00,7049,406029,15,114150,85022,13989,10614,10276,8752,1,23,8740,469,2,10,280329
2018-09-21 22:30:00,1639,75676,6,40928,29099,2307,1892,1377,1193,0,1,1515,80,0,1,54435
2018-09-21 23:00:00,3996,259063,5,67804,47632,11233,9341,5382,4980,0,4,7956,200,1,7,170682
2018-09-22 05:45:00,1489,78320,4,33002,24143,2655,2113,1465,1232,0,1,1726,82,1,1,54791
2018-09-22 21:00:00,4478,288450,5,75195,54583,11621,9359,6097,5305,1,6,7989,226,1,8,199523
2018-09-23 11:00:00,4684,274537,9,75090,53819,9993,8103,5066,4487,1,4,6621,249,3,3,186350
2018-09-23 18:00:00,788,37988,1,22050,14978,1075,825,717,635,0,1,707,29,0,2,25719
2018-09-24 09:00:00,5218,373718,11,86543,62111,10561,8484,10805,9607,3,24,7013,242,66,45,264844
2018-09-24 12:00:00,750,40648,1,27145,19046,1035,847,617,559,1,0,661,28,2,0,27850
2018-09-24 14:00:00,1324,63147,3,31131,22400,2297,1885,1312,1085,0,0,1603,56,2,1,43890
2018-09-25 12:00:00,5289,272834,3,76025,55341,10972,8841,5199,4307,2,27,7587,369,11,13,191343
2018-09-25 16:00:00,1474,68013,7,48992,34196,1286,1138,1428,1260,1,4,895,47,1,55,47373
2018-09-25 18:30:00,763,40665,2,27214,18933,1009,837,555,499,0,0,674,24,0,1,28182
2018-09-25 22:00:00,1698,81823,5,44994,30018,2301,1820,1505,1303,0,0,1433,42,0,0,54676
2018-09-26 05:45:00,1977,99740,2,45236,30752,3697,2984,1469,1295,0,3,2593,83,0,2,69005
2018-09-27 14:00:00,1240,75215,1,35177,26052,2222,1760,1500,1279,0,0,1460,63,0,0,53271
2018-09-28 12:00:00,2101,114116,3,49445,35791,3442,2835,1876,1688,0,1,2305,65,1,3,77192
2018-09-28 21:30:00,6209,344974,12,94687,70422,10838,8534,8743,7665,2,15,6955,184,5,13,241697
2018-09-28 22:00:00,1152,81038,2,28404,19383,2417,1961,1533,1357,0,1,1791,32,0,0,56920
2018-09-29 05:45:00,3821,203298,5,69534,50919,8300,6857,4144,3690,1,2,5894,229,0,2,144257
2018-09-29 08:00:00,766,44263,4,32337,23943,867,721,651,577,0,1,557,14,0,3,32334
2018-09-29 17:00:00,749,36842,4,29749,21053,748,647,793,693,0,5,570,8,0,0,26890
2018-09-30 14:00:00,2243,125233,5,53563,40989,4043,3197,2430,2130,1,2,2625,163,0,3,87005
2018-09-30 22:45:00,3067,154024,6,55070,40476,5713,4714,3004,2768,1,4,3968,143,1,4,109110
2018-10-10 05:00:00,8913,454690,13,111118,76861,21047,17463,9268,8258,0,11,15351,712,10,7,316877
2018-10-10 05:15:00,2976,143886,11,67581,49877,4506,3412,3150,2601,0,3,2792,129,1,1,102701
2018-10-10 05:30:00,8411,497972,11,96574,69242,21954,17390,11122,9523,3,13,15399,685,3,5,351577
2018-10-10 05:45:00,4560,243801,9,73590,50901,9900,8407,5152,4425,0,6,7089,284,0,1,173427
2018-10-10 06:00:00,3624,226510,7,70242,50251,7486,6161,4535,3927,0,5,4905,299,66,1,154640
2018-10-10 06:00:00,1021,46854,0,22265,15641,1427,1191,899,776,1,2,991,24,1,0,31857
2018-10-10 06:30:00,4425,239276,8,58897,41455,8684,7302,4899,4291,0,3,6030,171,5,5,165292
