Date,NewLikes,DailyPostsReach,WeeklyPostShares,DailyPostShares,DailyPageActions,DailyPostsImpression
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-03,1571,1776709,506918,116122,46,6514905
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-04,1571,1763473,507243,114578,55,6199481
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-05,1596,1820084,528932,112382,49,6145437
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-06,1570,1720385,535187,105004,60,6329891
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
2018-10-07,1849,1878386,539458,115112,54,6833887
